store,date,weekly_sales,holiday_flag,temperature,fuel_price,cpi,unemployment,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_4,rolling_std_4,rolling_mean_12,year,month,weekofyear,dayofweek,holiday_lag1,temperature_rolling4,fuel_price_rolling4,cpi_rolling4,unemployment_rolling4
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,1391256.12,1466058.28,1545418.53,1594968.28,1404429.92,1472515.79,1439541.59,1499425.3025,89550.29826614384,1514694.9408333332,2010,4,17,4,0.0,66.1075,2.7882499999999997,210.48505645,7.808
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,1425100.71,1391256.12,1466058.28,1545418.53,1594968.28,1404429.92,1472515.79,1456958.41,66432.18202288529,1496479.0916666668,2010,5,18,4,0.0,67.78,2.8045,210.4143342,7.808
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,1603955.12,1425100.71,1391256.12,1466058.28,1545418.53,1594968.28,1404429.92,1471592.5575,93391.49007121939,1493312.2316666667,2010,5,19,4,0.0,69.895,2.816,210.37651572500002,7.808
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,1494251.5,1603955.12,1425100.71,1391256.12,1466058.28,1545418.53,1594968.28,1478640.8625,93897.10021693469,1483502.5091666665,2010,5,20,4,0.0,72.795,2.82375,210.42100837499999,7.808
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,1399662.07,1494251.5,1603955.12,1425100.71,1391256.12,1466058.28,1545418.53,1480742.35,91348.94221530126,1482663.7158333333,2010,5,21,4,0.0,76.0525,2.8185000000000002,210.54781212499998,7.808
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,1432069.95,1399662.07,1494251.5,1603955.12,1425100.71,1391256.12,1466058.28,1482484.6600000001,89990.28757758501,1472435.655,2010,6,22,4,0.0,78.08749999999999,2.786,210.756926975,7.808
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,1615524.71,1432069.95,1399662.07,1494251.5,1603955.12,1425100.71,1391256.12,1485377.0575,95229.32666829095,1487100.915,2010,6,23,4,0.0,79.5,2.7395,211.036594225,7.808
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,1542561.09,1615524.71,1432069.95,1399662.07,1494251.5,1603955.12,1425100.71,1497454.455,99688.97915495554,1492938.0233333334,2010,6,24,4,0.0,81.4175,2.69225,211.24576385,7.808
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,1503284.06,1542561.09,1615524.71,1432069.95,1399662.07,1494251.5,1603955.12,1523359.9525,76594.02113840077,1501175.8683333334,2010,6,25,4,0.0,82.39250000000001,2.66575,211.35623685000002,7.808
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,1422711.6,1503284.06,1542561.09,1615524.71,1432069.95,1399662.07,1494251.5,1521020.365,80362.22961956475,1486821.1450000003,2010,7,26,4,0.0,82.4475,2.6567499999999997,211.368013225,7.80275
